,stock_code,closing_price,market_value,return,earnings_per_share,book_value_per_share,P/E,P/B
count,326543.0,326543.0,326543.0,323852.0,313535.0,322083.0,313535.0,322083.0
mean,318092.96,16.41,13626593.26,0.01,0.45,5.34,42.6,1.19
std,302767.47,29.22,65493003.76,0.15,1.2,4.45,5552.91,828.13
min,70.0,0.15,51875.0,-0.88,-54.55,-31.62,-1288000.0,-282500.0
25%,2352.0,6.71,1485545.0,-0.07,0.11,3.01,14.61,1.64
50%,600114.0,11.12,3353969.89,-0.0,0.32,4.38,28.51,2.54
75%,600971.0,18.63,7912202.42,0.07,0.64,6.48,52.71,4.02
max,873665.0,2218.0,2786246720.4,12.75,57.0,180.28,410000.0,9346.11
