,monthly return,P/E,P/B,ROA,ROE,RD/asset,firm age
count,113574.0,107601.0,113631.0,64574.0,64416.0,41542.0,66239.0
mean,0.01,95.8,4.75,0.02,-0.0,0.02,16.39
std,0.18,10626.56,18.23,0.05,6.92,0.03,5.44
min,-0.86,-692857.14,-733.51,-1.88,-1756.04,-0.0,0.45
25\%,-0.08,24.4,2.38,0.0,0.01,0.01,12.53
50\%,-0.0,41.94,3.53,0.02,0.02,0.02,16.18
75\%,0.08,72.0,5.55,0.04,0.05,0.03,19.85
max,6.4,2087500.0,3484.12,0.97,1.32,2.7,42.57
